order,workflow_name,workload_type,benchmark,yaml_path,iterations,shots,image_ref
0,real-amplitudes-ansatz-with-random-parameters-batch-20260715-12,real_amplitudes_ansatz_with_random_parameters,vqe_real_amp,results/batch_20260715_124842/manifests/real-amplitudes-ansatz-with-random-parameters-batch-20260715-12.yaml,16,768,9f1a58fefbc2
1,quantum-approximation-optimization-algorithm-qaoa-batch-2026071,quantum_approximation_optimization_algorithm_qaoa,qaoa,results/batch_20260715_124842/manifests/quantum-approximation-optimization-algorithm-qaoa-batch-2026071.yaml,16,512,03ede6042358
2,quantum-approximation-optimization-algorithm-qaoa-batch-2026071,quantum_approximation_optimization_algorithm_qaoa,qaoa,results/batch_20260715_124842/manifests/quantum-approximation-optimization-algorithm-qaoa-batch-2026071.yaml,16,1280,03ede6042358
3,quantum-approximation-optimization-algorithm-qaoa-batch-2026071,quantum_approximation_optimization_algorithm_qaoa,qaoa,results/batch_20260715_124842/manifests/quantum-approximation-optimization-algorithm-qaoa-batch-2026071.yaml,19,1152,03ede6042358
4,quantum-approximation-optimization-algorithm-qaoa-batch-2026071,quantum_approximation_optimization_algorithm_qaoa,qaoa,results/batch_20260715_124842/manifests/quantum-approximation-optimization-algorithm-qaoa-batch-2026071.yaml,15,896,03ede6042358
5,real-amplitudes-ansatz-with-random-parameters-batch-20260715-12,real_amplitudes_ansatz_with_random_parameters,vqe_real_amp,results/batch_20260715_124842/manifests/real-amplitudes-ansatz-with-random-parameters-batch-20260715-12.yaml,16,1408,9f1a58fefbc2
6,quantum-approximation-optimization-algorithm-qaoa-batch-2026071,quantum_approximation_optimization_algorithm_qaoa,qaoa,results/batch_20260715_124842/manifests/quantum-approximation-optimization-algorithm-qaoa-batch-2026071.yaml,9,1408,03ede6042358
7,real-amplitudes-ansatz-with-random-parameters-batch-20260715-12,real_amplitudes_ansatz_with_random_parameters,vqe_real_amp,results/batch_20260715_124842/manifests/real-amplitudes-ansatz-with-random-parameters-batch-20260715-12.yaml,5,640,9f1a58fefbc2
8,efficient-su2-ansatz-with-random-parameters-batch-20260715-1248,efficient_su2_ansatz_with_random_parameters,vqe_su2,results/batch_20260715_124842/manifests/efficient-su2-ansatz-with-random-parameters-batch-20260715-1248.yaml,12,1280,5ae2d85fc3ef
9,efficient-su2-ansatz-with-random-parameters-batch-20260715-1248,efficient_su2_ansatz_with_random_parameters,vqe_su2,results/batch_20260715_124842/manifests/efficient-su2-ansatz-with-random-parameters-batch-20260715-1248.yaml,7,1280,5ae2d85fc3ef
